[600] 03 May 21:14:32 # Warning: no config file specified, using the default config. In order to specify a config file use 'redis-server /path/to/redis.conf'
[600] 03 May 21:31:32 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:31:37 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:31:42 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:31:47 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:31:52 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:31:57 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:32:02 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:32:07 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:32:12 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:32:17 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:32:22 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:32:27 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:32:32 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:32:37 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:32:42 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:32:47 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:32:52 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:32:57 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:33:02 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:33:03 - Client closed connection
[600] 03 May 21:33:05 - Accepted 127.0.0.1:49378
[600] 03 May 21:33:07 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:33:12 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:33:17 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:33:23 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:33:28 - DB 0: 1 keys (0 volatile) in 4 slots HT.
[600] 03 May 21:33:28 - 1 clients connected (0 slaves), 417376 bytes in use
[600] 03 May 21:33:33 - DB 0: 1 keys (0 volatile) in 4 slots HT.
[600] 03 May 21:33:33 - 1 clients connected (0 slaves), 417376 bytes in use
[600] 03 May 21:33:38 - DB 0: 1 keys (0 volatile) in 4 slots HT.
[600] 03 May 21:33:38 - 1 clients connected (0 slaves), 417376 bytes in use
